Тканини;2013;4340;4420;4 ;17360.0;17680.0
Одяг та білизна;2013;6280;6720;7.5;47100.0;50400.0
Взуття;2013;5260;5854;7.5;39450.0;43905.0
Трикотаж;2013;3720;3682;7.5;27900.0;27615.0
Галантерея;2013;2410;2694;9.5;22895.0;25593.0
Тканини;2014;4600;4640;4 ;18400.0;18560.0
Одяг та білизна;2014;6800;7400;7.5;51000.0;55500.0
Взуття;2014;6000;6250;7.5;45000.0;46875.0
Трикотаж;2014;3800;3850;7.5;28500.0;28875.0
Галантерея;2014;2700;3000;9.5;25650.0;28500.0
Тканини;2015;4700;4625;4 ;18800.0;18500.0
Одяг та білизна;2015;6700;6630;7.5;50250.0;49725.0
Взуття;2015;6700;6500;7.5;50250.0;48750.0
Трикотаж;2015;4300;4500;7.5;32250.0;33750.0
Галантерея;2015;3500;3590;9.5;33250.0;34105.0
